M,Y,State,Administered_Dose1_Pop_Pct,Administered_Cumulative,new_case,new_death,tot_cases
01,2021,KY,2.6,104226,2877,50,287772
01,2021,LA,1.8,87255,4467,50,326648
01,2021,MA,2.5,175919,4634,71,397202
01,2021,MD,2.1,117866,1956,38,289758
01,2021,ME,3.2,44246,649,3,28051
01,2021,MI,2.1,216108,3403,75,604025
01,2021,MN,2.4,141090,1573,18,425261
01,2021,MO,2.1,140168,4921,54,467455
01,2021,MP,6,3095,1,0,125
01,2021,MS,1.4,41946,2916,45,231690
01,2021,MT,3.4,38464,714,30,83378
01,2021,NC,1.8,186105,7879,129,584856
01,2021,ND,3.7,29963,592,22,93832
01,2021,NE,3.2,67059,1508,10,171795
01,2021,NH,2.9,37601,664,11,47992
01,2021,NJ,2,167819,5328,138,551419
01,2021,NM,3.7,79922,1184,20,148499
01,2021,NV,1.7,53681,2423,29,235455
01,2021,NY,2.2,476920,7803,124,592518
01,2021,OH,2.2,259460,7580,104,735003
01,2021,OK,3.2,131039,5543,58,342671
01,2021,OR,2.2,96660,1035,44,119488
01,2021,PA,2.3,289590,8684,185,682122
01,2021,PR,2.8,105700,295,17,81704
01,2021,PW,0.6,118,0,0,0
01,2021,RI,3.2,35531,978,15,89408
01,2021,SC,1.5,82919,3434,15,341638
01,2021,SD,4.3,38131,433,0,101076
01,2021,TN,3.3,243371,4043,143,606939
01,2021,TX,2.5,759568,31630,326,1843153
01,2021,UT,2.5,82727,3318,7,288951
01,2021,VA,2.2,205983,5387,35,377300
01,2021,VI,1.9,2052,25,0,2080
01,2021,VT,3.7,24340,148,0,7526
01,2021,WA,2.2,177588,1864,59,257225
01,2021,WI,2,121414,4019,97,531890
01,2021,WV,3.9,82082,1276,46,93162
01,2021,WY,2.2,12783,322,26,45569
01,2022,AK,67.4,1057386,1502,0,155871
01,2022,AL,60.4,5842606,13075,26,948081
01,2022,AR,64.1,3911426,7488,8,588622
01,2022,AS,88.4,81347,0,0,11
01,2022,AZ,68.9,10913079,7749,61,1419562
01,2022,CA,79.1,66642507,51743,130,5766356
01,2022,CO,76.4,9804423,14098,19,992360
01,2022,CT,90.6,6857233,10344,7,554812
01,2022,DC,92.1,1360758,1326,2,106819
01,2022,DE,78.6,1631590,1395,0,192556
01,2022,FL,76.1,34621177,66734,87,4510785
01,2022,GA,62.9,13745537,24024,27,1928942
01,2022,GU,86.9,314502,263,0,20351
01,2022,HI,84.1,2632743,2555,0,122385
01,2022,IA,65.8,4713768,4268,0,596296
01,2022,ID,58.8,2260873,1441,4,323965
01,2022,IL,72.7,20303031,32279,104,2295445
01,2022,IN,58.7,8712632,12890,40,1299480
01,2022,KS,71.4,4233573,15322,15,549721
01,2022,KY,63.8,6044197,12357,27,911936
01,2022,LA,58.7,5789604,10403,9,879549
01,2022,MA,92.1,13323743,30805,54,1223354
01,2022,MD,82.4,10830056,11216,52,788502
01,2022,ME,87,2574918,2570,10,162058
01,2022,MI,64.7,14564295,16443,34,1808738
01,2022,MN,72.4,9361259,4140,71,1049310
01,2022,MO,63.5,8239748,12264,21,1054485
01,2022,MP,84.4,98167,65,0,3518
01,2022,MS,57.3,3592286,6592,11,572694
01,2022,MT,63.2,1481418,1103,1,200558
01,2022,NC,78.9,15357086,24310,39,1785301
01,2022,ND,63.1,1030385,1349,4,179161
01,2022,NE,67.9,2957606,3533,43,353056
01,2022,NH,83.4,2279609,3176,9,208073
01,2022,NJ,85.6,15471754,37285,58,1711738
01,2022,NM,82.6,3536059,2513,36,361629
01,2022,NV,71.2,4444460,3702,20,520948
01,2022,NY,85.7,35282311,35182,55,2067290
01,2022,OH,61.5,16417340,19750,0,2112824
01,2022,OK,67.6,5444245,6280,0,731155
01,2022,OR,75.1,7012911,6195,9,441648
01,2022,PA,80.4,20970625,28018,143,2147482
01,2022,PR,90.4,6291729,14560,14,327308
01,2022,PW,88.2,38047,0,0,19
01,2022,RI,91.9,2017330,5389,11,239405
01,2022,SC,64.7,6938167,8528,39,1023975
01,2022,SD,72.6,1291144,2254,9,185284
01,2022,TN,60.1,9259363,15124,46,1476731
01,2022,TX,68.9,42199192,48945,92,4847637
01,2022,UT,69.2,4779268,7247,52,663654
01,2022,VA,82,15037573,15841,12,1202736
01,2022,VI,61.7,133947,446,0,11160
01,2022,VT,90.5,1295011,789,1,64190
01,2022,WA,77.6,13006822,10988,0,898306
01,2022,WI,69.3,9348094,13760,73,1156050
01,2022,WV,63,2549332,2928,11,342607
01,2022,WY,56.5,701202,709,0,118098
01,2021,AK,4.3,34618,340,3,47461
01,2021,AL,1.6,79325,5107,80,385706
01,2021,AR,2.7,90544,3705,65,242593
01,2021,AS,3,1401,0,0,3
01,2021,AZ,2.1,162810,7209,127,575050
01,2021,CA,2,810795,29892,415,2482226
01,2021,CO,3,188649,2206,0,359856
01,2021,CT,3.4,124628,2486,38,199454
01,2021,DC,2,32761,316,5,30482
01,2021,DE,2.3,24476,639,0,62321
01,2021,FL,2.3,540727,19407,178,1397411
01,2021,GA,1.6,177877,7686,93,713840
01,2021,GU,3.6,6454,27,1,7386
01,2021,HI,3.3,48186,125,10,21846
01,2021,IA,2.7,89263,2626,61,289932
01,2021,ID,2,40538,1263,17,146106
01,2021,IL,2.3,297813,7569,173,999288
01,2021,IN,2.6,180624,6158,81,539514
01,2021,KS,2.9,89643,5501,130,236818
01,2021,KY,3,122236,4802,48,292574
01,2021,LA,2.1,106553,6876,46,333524
01,2021,MA,2.7,194149,6851,85,404053
01,2021,MD,2.3,135140,3146,45,292904
01,2021,ME,3.5,49032,523,13,28574
01,2021,MI,2.3,243606,2947,69,606972
